,Formatted Date,Temperature (C),Apparent Temperature (C),Visibility (km),Summary,Precip Type
0,2005-12-31,0.5777777777777773,-4.05,9.982,Partly Cloudy,rain
1,2006-01-01,4.075,-0.17453703703703724,11.3484875,Mostly Cloudy,rain
2,2006-01-02,5.263194444444444,1.8087962962962967,8.492079166666668,Overcast,rain
3,2006-01-03,2.34050925925926,0.4453703703703702,9.223958333333334,Overcast,rain
4,2006-01-04,2.2518518518518524,-0.6631944444444442,8.352545833333334,Overcast,rain
5,2006-01-05,2.703935185185186,0.4458333333333336,4.308091666666667,Overcast,rain
6,2006-01-06,2.5504629629629636,1.2312500000000004,4.635458333333333,Overcast,rain
7,2006-01-07,0.8770833333333333,-0.7497685185185182,4.585816666666667,Foggy,rain
8,2006-01-08,-1.2317129629629633,-2.8050925925925925,8.694670833333333,Clear,snow
9,2006-01-09,-1.693287037037037,-2.8400462962962965,8.891225,Partly Cloudy,snow
10,2006-01-10,-0.5326388888888888,-0.7606481481481482,7.562304166666667,Mostly Cloudy,snow
11,2006-01-11,-1.392361111111111,-2.270601851851852,3.745933333333334,Mostly Cloudy,snow
12,2006-01-12,-0.34189814814814795,-1.140509259259259,4.045125,Mostly Cloudy,snow
13,2006-01-13,-0.3571759259259253,-2.362731481481481,2.6061875000000003,Foggy,snow
14,2006-01-14,-1.1347222222222222,-3.4120370370370368,5.526995833333334,Mostly Cloudy,snow
15,2006-01-15,-3.135648148148148,-5.774074074074075,7.837345833333334,Mostly Cloudy,snow
16,2006-01-16,-3.639814814814814,-3.639814814814814,9.799533333333335,Overcast,snow
17,2006-01-17,-3.7761574074074074,-8.27037037037037,5.362641666666668,Overcast,snow
18,2006-01-18,1.9729166666666667,-1.3240740740740742,6.258204166666666,Overcast,rain
19,2006-01-19,-1.2391203703703706,-6.084722222222222,11.276708333333334,Partly Cloudy,snow
20,2006-01-20,-2.145601851851852,-4.600925925925925,10.983554166666666,Mostly Cloudy,snow
21,2006-01-21,0.7363425925925923,-1.4888888888888887,9.97395,Mostly Cloudy,rain
22,2006-01-22,-2.965509259259259,-8.841435185185185,11.066066666666666,Mostly Cloudy,snow
23,2006-01-23,-11.469444444444443,-18.281944444444445,12.421149999999999,Overcast,snow
24,2006-01-24,-10.83472222222222,-12.575925925925924,11.112354166666668,Clear,snow
25,2006-01-25,-9.775462962962964,-11.40486111111111,8.248566666666667,Clear,snow
26,2006-01-26,-7.934722222222223,-12.077083333333334,10.9218375,Partly Cloudy,snow
27,2006-01-27,-6.629166666666666,-8.997685185185185,9.570779166666666,Partly Cloudy,snow
28,2006-01-28,-3.4930555555555554,-4.881481481481481,8.2432,Mostly Cloudy,snow
29,2006-01-29,0.48402777777777795,-2.18425925925926,7.895708333333334,Partly Cloudy,snow
30,2006-01-30,-0.11712962962962947,-1.5138888888888886,6.829083333333334,Overcast,rain
31,2006-01-31,-1.432175925925926,-4.195601851851852,4.8964125,Overcast,snow
32,2006-02-01,-1.9511574074074074,-3.985648148148148,5.037958333333333,Overcast,snow
33,2006-02-02,-3.4657407407407406,-5.094212962962962,2.797375,Foggy,snow
34,2006-02-03,-3.4025462962962956,-4.517592592592592,5.284154166666667,Overcast,snow
35,2006-02-04,-3.7203703703703703,-6.902314814814814,4.495925000000001,Overcast,snow
36,2006-02-05,-5.609953703703703,-10.66111111111111,8.887870833333332,Clear,snow
37,2006-02-06,-7.019907407407408,-12.766435185185186,11.863016666666667,Clear,snow
38,2006-02-07,-5.681712962962963,-9.753935185185187,10.632037500000001,Mostly Cloudy,snow
39,2006-02-08,-1.7069444444444442,-5.58287037037037,6.056283333333334,Overcast,snow
40,2006-02-09,-1.2187500000000002,-4.547916666666667,2.4941583333333335,Foggy,snow
41,2006-02-10,-1.3437500000000002,-2.593055555555556,0.6621125,Foggy,snow
42,2006-02-11,-1.3381944444444445,-3.820138888888889,4.4415875,Foggy,snow
43,2006-02-12,-1.2958333333333336,-5.406481481481482,10.4328,Overcast,snow
44,2006-02-13,-2.424537037037037,-5.0502314814814815,10.007491666666667,Partly Cloudy,snow
45,2006-02-14,-1.0837962962962966,-2.432175925925926,6.453416666666667,Mostly Cloudy,snow
46,2006-02-15,-1.7689814814814815,-5.259027777777778,3.2911083333333333,Foggy,snow
47,2006-02-16,1.9944444444444447,-2.5453703703703705,2.728279166666667,Foggy,rain
48,2006-02-17,3.7356481481481487,0.9331018518518516,8.419629166666667,Mostly Cloudy,rain
